run,agent,week,type,no_response,partial_week_record,primary_chars,primary_exact_duplicate,primary_near_duplicate,primary_max_prior_jaccard,reflection_chars,reflection_exact_duplicate,reflection_near_duplicate,reflection_max_prior_jaccard
Run 1,Aaron Whitfield,6,solo,0,0,335,0,0,0.018868,480,0,0,0.016949
Run 1,Aaron Whitfield,7,solo,0,0,423,0,0,0.628205,735,0,0,0.568345
Run 1,Aaron Whitfield,7,solo,0,0,368,0,0,0.043478,649,0,0,0.023256
Run 1,Aaron Whitfield,7,solo,0,0,442,0,0,0.016129,609,0,0,0.05102
Run 1,Aaron Whitfield,7,solo,0,0,425,0,0,0.04065,549,0,0,0.035714
Run 1,Aaron Whitfield,7,solo,0,0,448,1,0,1.0,674,0,0,0.646259
Run 1,Aaron Whitfield,7,solo,0,0,385,0,0,0.053571,510,0,0,0.032787
Run 1,Aaron Whitfield,7,solo,0,0,404,0,0,0.074627,612,0,0,0.049751
Run 1,Aaron Whitfield,7,solo,0,0,488,0,0,0.03252,585,0,0,0.028302
Run 1,Aaron Whitfield,7,solo,0,0,448,1,0,1.0,664,0,1,0.898438
Run 1,Aaron Whitfield,7,solo,0,0,421,0,0,0.051724,544,0,0,0.005848
Run 1,Aaron Whitfield,7,solo,0,0,263,0,0,0.066667,555,0,0,0.027778
Run 1,Aaron Whitfield,7,solo,0,0,303,0,0,0.008696,512,0,0,0.048128
Run 1,Aaron Whitfield,7,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,7,solo,1,0,376,0,1,0.857143,11,1,0,0.0
Run 1,Aaron Whitfield,7,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,7,solo,0,0,423,0,0,0.05036,585,0,0,0.036866
Run 1,Aaron Whitfield,7,solo,0,0,268,0,0,0.045455,574,0,0,0.039604
Run 1,Aaron Whitfield,7,solo,0,0,316,0,0,0.008,492,0,0,0.023392
Run 1,Aaron Whitfield,8,solo,0,0,423,1,0,1.0,762,0,0,0.544379
Run 1,Aaron Whitfield,8,solo,0,0,387,0,0,0.052632,614,0,0,0.07619
Run 1,Aaron Whitfield,8,solo,0,0,401,0,0,0.055118,516,0,0,0.072917
Run 1,Aaron Whitfield,8,solo,0,0,593,0,0,0.018868,581,0,0,0.042328
Run 1,Aaron Whitfield,8,solo,0,0,423,1,0,1.0,762,1,0,1.0
Run 1,Aaron Whitfield,8,solo,0,0,328,0,0,0.062016,619,0,0,0.010152
Run 1,Aaron Whitfield,8,solo,0,0,337,0,0,0.068376,642,0,0,0.028037
Run 1,Aaron Whitfield,8,solo,0,0,392,0,0,0.040323,567,0,0,0.011236
Run 1,Aaron Whitfield,8,solo,0,0,353,0,0,0.470588,691,0,0,0.192661
Run 1,Aaron Whitfield,8,solo,0,0,315,0,0,0.198113,623,0,0,0.065728
Run 1,Aaron Whitfield,8,solo,0,0,390,0,0,0.045455,482,0,0,0.015957
Run 1,Aaron Whitfield,8,solo,0,0,437,0,0,0.084746,615,0,0,0.032086
Run 1,Aaron Whitfield,8,solo,0,0,434,0,0,0.779221,672,0,0,0.467532
Run 1,Aaron Whitfield,8,solo,0,0,463,0,0,0.071429,531,0,0,0.034483
Run 1,Aaron Whitfield,8,solo,0,0,456,0,0,0.072581,518,0,0,0.033654
Run 1,Aaron Whitfield,8,solo,0,0,367,0,0,0.084746,674,0,0,0.031111
Run 1,Aaron Whitfield,8,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,8,solo,0,0,438,0,0,0.023438,691,0,0,0.039474
Run 1,Aaron Whitfield,8,solo,0,0,531,0,0,0.104575,555,0,0,0.030928
Run 1,Aaron Whitfield,8,solo,0,0,263,0,0,0.098901,447,0,0,0.045714
Run 1,Aaron Whitfield,9,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,9,solo,0,0,424,0,0,0.755814,1099,0,0,0.46875
Run 1,Aaron Whitfield,9,solo,0,0,422,0,1,0.873418,1097,0,1,0.952153
Run 1,Aaron Whitfield,9,solo,0,0,379,0,0,0.11215,604,0,0,0.016304
Run 1,Aaron Whitfield,9,solo,0,0,418,0,0,0.053435,723,0,0,0.0181
Run 1,Aaron Whitfield,9,solo,0,0,420,0,0,0.078125,630,0,0,0.034783
Run 1,Aaron Whitfield,9,solo,0,0,546,0,0,0.68,1099,1,0,1.0
Run 1,Aaron Whitfield,9,solo,0,0,516,0,0,0.077465,569,0,0,0.104651
Run 1,Aaron Whitfield,9,solo,0,0,279,0,0,0.225,549,0,0,0.03352
Run 1,Aaron Whitfield,9,solo,0,0,323,0,0,0.040404,679,0,0,0.044554
Run 1,Aaron Whitfield,9,solo,0,0,406,0,1,0.883117,1099,1,0,1.0
Run 1,Aaron Whitfield,9,solo,0,0,337,0,0,0.017857,658,0,0,0.038647
Run 1,Aaron Whitfield,9,solo,0,0,431,0,0,0.131148,676,0,0,0.029126
Run 1,Aaron Whitfield,9,solo,0,0,353,0,0,0.021898,456,0,0,0.035714
Run 1,Aaron Whitfield,9,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,9,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,10,solo,0,0,406,1,0,1.0,773,0,0,0.480663
Run 1,Aaron Whitfield,10,solo,0,0,484,0,0,0.105634,557,0,0,0.025253
Run 1,Aaron Whitfield,10,solo,0,0,389,0,0,0.188679,549,0,0,0.04186
Run 1,Aaron Whitfield,10,solo,0,0,334,0,0,0.150943,627,0,0,0.06422
Run 1,Aaron Whitfield,10,solo,0,0,423,0,1,0.848101,537,0,0,0.77
Run 1,Aaron Whitfield,10,solo,0,0,395,0,0,0.204545,585,0,0,0.03125
Run 1,Aaron Whitfield,10,solo,0,0,505,0,0,0.034965,718,0,0,0.027027
Run 1,Aaron Whitfield,10,solo,0,0,430,0,0,0.082569,567,0,0,0.010582
Run 1,Aaron Whitfield,10,solo,0,0,406,1,0,1.0,773,1,0,1.0
Run 1,Aaron Whitfield,10,solo,0,0,365,0,0,0.18,540,0,0,0.022472
Run 1,Aaron Whitfield,10,solo,0,0,361,0,0,0.164948,706,0,0,0.059113
Run 1,Aaron Whitfield,10,solo,0,0,561,0,0,0.06993,560,0,0,0.027174
Run 1,Aaron Whitfield,10,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,10,solo,1,0,367,0,0,0.033898,11,1,0,0.0
Run 1,Aaron Whitfield,10,solo,1,0,406,1,0,1.0,11,1,0,0.0
Run 1,Aaron Whitfield,10,solo,0,0,368,0,0,0.045455,631,0,0,0.046218
Run 1,Aaron Whitfield,10,solo,0,0,399,0,0,0.15625,549,0,0,0.020942
Run 1,Aaron Whitfield,10,solo,0,0,365,0,0,0.067308,545,0,0,0.060773
Run 1,Aaron Whitfield,11,solo,0,0,406,1,0,1.0,579,0,0,0.735849
Run 1,Aaron Whitfield,11,solo,0,0,318,0,0,0.12381,586,0,0,0.022472
Run 1,Aaron Whitfield,11,solo,0,0,363,0,0,0.184466,696,0,0,0.038835
Run 1,Aaron Whitfield,11,solo,0,0,452,0,0,0.061538,571,0,0,0.014493
Run 1,Aaron Whitfield,11,solo,0,0,552,0,0,0.731959,572,0,0,0.586207
Run 1,Aaron Whitfield,11,solo,0,0,389,0,0,0.090909,508,0,0,0.026455
Run 1,Aaron Whitfield,11,solo,0,0,396,0,0,0.12844,527,0,0,0.061798
Run 1,Aaron Whitfield,11,solo,0,0,461,0,0,0.067797,848,0,0,0.034091
Run 1,Aaron Whitfield,11,solo,0,0,489,0,1,0.816092,692,0,1,0.806723
Run 1,Aaron Whitfield,11,solo,0,0,487,0,0,0.046875,549,0,0,0.038462
Run 1,Aaron Whitfield,11,solo,0,0,327,0,0,0.083333,610,0,0,0.043478
Run 1,Aaron Whitfield,11,solo,0,0,408,0,0,0.064815,613,0,0,0.033981
Run 1,Aaron Whitfield,11,solo,0,0,489,1,0,1.0,692,1,0,1.0
Run 1,Aaron Whitfield,11,solo,0,0,356,0,0,0.15625,606,0,0,0.068966
Run 1,Aaron Whitfield,11,solo,0,0,396,0,0,0.148515,639,0,0,0.02439
Run 1,Aaron Whitfield,11,solo,0,0,713,0,0,0.01087,628,0,0,0.028302
Run 1,Aaron Whitfield,11,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,11,solo,0,0,386,0,0,0.078947,471,0,0,0.015544
Run 1,Aaron Whitfield,11,solo,0,0,509,0,0,0.049645,739,0,0,0.024242
Run 1,Aaron Whitfield,11,solo,0,0,279,0,0,0.076923,592,0,0,0.010309
Run 1,Aaron Whitfield,12,solo,0,0,406,1,0,1.0,672,0,0,0.638889
Run 1,Aaron Whitfield,12,solo,0,0,304,0,0,0.084211,681,0,0,0.034146
Run 1,Aaron Whitfield,12,solo,0,0,357,0,0,0.18,625,0,0,0.03125
Run 1,Aaron Whitfield,12,solo,0,0,259,0,0,0.029703,574,0,0,0.083799
Run 1,Aaron Whitfield,12,solo,0,0,406,1,0,1.0,672,1,0,1.0
Run 1,Aaron Whitfield,12,solo,0,0,387,0,0,0.150943,564,0,0,0.041475
Run 1,Aaron Whitfield,12,solo,0,0,323,0,0,0.202247,539,0,0,0.047619
Run 1,Aaron Whitfield,12,solo,0,0,433,0,0,0.071429,646,0,0,0.031111
Run 1,Aaron Whitfield,12,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,12,solo,0,0,574,0,0,0.673267,672,1,0,1.0
Run 1,Aaron Whitfield,12,solo,0,0,406,1,0,1.0,672,1,0,1.0
Run 1,Aaron Whitfield,12,solo,0,0,355,0,0,0.148936,555,0,0,0.064516
Run 1,Aaron Whitfield,12,solo,0,0,339,0,0,0.142857,657,0,0,0.056701
Run 1,Aaron Whitfield,12,solo,0,0,414,0,0,0.063636,593,0,0,0.030973
Run 1,Aaron Whitfield,12,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,12,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,13,solo,0,0,406,1,0,1.0,533,0,1,0.852632
Run 1,Aaron Whitfield,13,solo,0,0,336,0,0,0.151515,563,0,0,0.065
Run 1,Aaron Whitfield,13,solo,0,0,431,0,0,0.109091,590,0,0,0.026316
Run 1,Aaron Whitfield,13,solo,0,0,381,0,0,0.084746,649,0,0,0.034826
Run 1,Aaron Whitfield,13,solo,0,0,406,1,0,1.0,670,0,0,0.778761
Run 1,Aaron Whitfield,13,solo,0,0,339,0,0,0.008547,727,0,0,0.04721
Run 1,Aaron Whitfield,13,solo,0,0,346,0,0,0.17757,529,0,0,0.023392
Run 1,Aaron Whitfield,13,solo,0,0,459,0,0,0.051095,645,0,0,0.026316
Run 1,Aaron Whitfield,13,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,13,solo,0,0,408,0,1,0.883117,533,1,0,1.0
Run 1,Aaron Whitfield,13,solo,0,0,406,1,0,1.0,533,1,0,1.0
Run 1,Aaron Whitfield,13,solo,0,0,409,0,0,0.04386,566,0,0,0.062147
Run 1,Aaron Whitfield,13,solo,0,0,318,0,0,0.088235,548,0,0,0.085227
Run 1,Aaron Whitfield,13,solo,0,0,358,0,0,0.030864,527,0,0,0.05625
Run 1,Aaron Whitfield,13,solo,0,0,406,1,0,1.0,670,1,0,1.0
Run 1,Aaron Whitfield,13,solo,0,0,370,0,0,0.072165,573,0,0,0.041885
Run 1,Aaron Whitfield,13,solo,0,0,321,0,0,0.202532,496,0,0,0.063492
Run 1,Aaron Whitfield,13,solo,0,0,300,0,0,0.2,571,0,0,0.048309
Run 1,Aaron Whitfield,14,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,14,solo,0,0,520,0,0,0.78022,687,0,0,0.674797
Run 1,Aaron Whitfield,14,solo,0,0,485,0,1,0.816092,687,1,0,1.0
Run 1,Aaron Whitfield,14,solo,0,0,293,0,0,0.230769,584,0,0,0.034091
Run 1,Aaron Whitfield,14,solo,0,0,442,0,0,0.075472,672,0,0,0.02008
Run 1,Aaron Whitfield,14,solo,0,0,362,0,0,0.0,653,0,0,0.03653
Run 1,Aaron Whitfield,14,solo,0,0,406,1,0,1.0,687,1,0,1.0
Run 1,Aaron Whitfield,14,solo,0,0,362,0,0,0.075472,678,0,0,0.037559
Run 1,Aaron Whitfield,14,solo,0,0,392,0,0,0.193182,504,0,0,0.028736
Run 1,Aaron Whitfield,14,solo,0,0,390,0,0,0.098214,525,0,0,0.044944
Run 1,Aaron Whitfield,14,solo,0,0,406,1,0,1.0,687,1,0,1.0
Run 1,Aaron Whitfield,14,solo,0,0,306,0,0,0.027523,699,0,0,0.049774
Run 1,Aaron Whitfield,14,solo,0,0,436,0,0,0.190476,518,0,0,0.022472
Run 1,Aaron Whitfield,14,solo,0,0,403,0,0,0.056604,646,0,0,0.039216
Run 1,Aaron Whitfield,14,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,14,solo,0,0,391,0,0,0.041322,642,0,0,0.029126
Run 1,Aaron Whitfield,14,solo,0,0,384,0,0,0.136364,591,0,0,0.041026
Run 1,Aaron Whitfield,14,solo,0,0,364,0,0,0.063063,609,0,0,0.024631
Run 1,Aaron Whitfield,15,solo,0,0,485,1,0,1.0,666,0,0,0.68595
Run 1,Aaron Whitfield,15,solo,0,0,508,0,0,0.078125,560,0,0,0.056818
Run 1,Aaron Whitfield,15,solo,0,0,388,0,0,0.02439,676,0,0,0.060914
Run 1,Aaron Whitfield,15,solo,0,0,360,0,0,0.186047,563,0,0,0.059172
Run 1,Aaron Whitfield,15,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,15,solo,0,0,487,0,1,0.891304,666,1,0,1.0
Run 1,Aaron Whitfield,15,solo,0,0,470,0,1,0.89011,666,1,0,1.0
Run 1,Aaron Whitfield,15,solo,0,0,379,0,0,0.177083,750,0,0,0.026906
Run 1,Aaron Whitfield,15,solo,0,0,394,0,0,0.182796,729,0,0,0.072816
Run 1,Aaron Whitfield,15,solo,0,0,485,0,0,0.080882,616,0,0,0.057592
Run 1,Aaron Whitfield,15,solo,0,0,547,0,0,0.028571,643,0,0,0.042373
Run 1,Aaron Whitfield,15,solo,0,0,398,0,0,0.182692,473,0,0,0.029586
Run 1,Aaron Whitfield,15,solo,0,0,405,0,0,0.047619,625,0,0,0.022523
Run 1,Aaron Whitfield,15,solo,0,0,352,0,0,0.140351,515,0,0,0.032787
Run 1,Aaron Whitfield,15,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,15,solo,0,0,330,0,0,0.089431,497,0,0,0.060109
Run 1,Aaron Whitfield,15,solo,0,0,272,0,0,0.07,567,0,0,0.041667
Run 1,Aaron Whitfield,15,solo,0,0,404,0,0,0.084746,532,0,0,0.051136
Run 1,Aaron Whitfield,16,solo,0,0,485,1,0,1.0,626,0,0,0.684211
Run 1,Aaron Whitfield,16,solo,0,0,354,0,0,0.020408,575,0,0,0.040609
Run 1,Aaron Whitfield,16,solo,0,0,376,0,0,0.13,504,0,0,0.057143
Run 1,Aaron Whitfield,16,solo,0,0,382,0,0,0.054054,557,0,0,0.010471
Run 1,Aaron Whitfield,16,solo,0,0,406,1,0,1.0,626,1,0,1.0
Run 1,Aaron Whitfield,16,solo,0,0,259,0,0,0.044944,511,0,0,0.031847
Run 1,Aaron Whitfield,16,solo,0,0,373,0,0,0.023438,676,0,0,0.028436
Run 1,Aaron Whitfield,16,solo,0,0,371,0,0,0.116505,743,0,0,0.031915
Run 1,Aaron Whitfield,16,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,16,solo,0,0,408,1,0,1.0,626,1,0,1.0
Run 1,Aaron Whitfield,16,solo,0,0,485,1,0,1.0,717,0,0,0.594406
Run 1,Aaron Whitfield,16,solo,0,0,412,0,0,0.195652,668,0,0,0.058824
Run 1,Aaron Whitfield,16,solo,0,0,373,0,0,0.179775,620,0,0,0.056075
Run 1,Aaron Whitfield,16,solo,0,0,379,0,0,0.191011,680,0,0,0.058091
Run 1,Aaron Whitfield,16,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,16,solo,0,0,433,0,0,0.022901,542,0,0,0.023529
Run 1,Aaron Whitfield,16,solo,0,0,235,0,0,0.180723,569,0,0,0.03125
Run 1,Aaron Whitfield,16,solo,0,0,308,0,0,0.026786,487,0,0,0.065089
Run 1,Aaron Whitfield,17,solo,0,0,406,1,0,1.0,543,0,0,0.787879
Run 1,Aaron Whitfield,17,solo,0,0,417,0,0,0.077586,531,0,0,0.150943
Run 1,Aaron Whitfield,17,solo,0,0,383,0,0,0.053571,536,0,0,0.086957
Run 1,Aaron Whitfield,17,solo,0,0,320,0,0,0.045455,556,0,0,0.032086
Run 1,Aaron Whitfield,17,solo,0,0,485,1,0,1.0,543,1,0,1.0
Run 1,Aaron Whitfield,17,solo,0,0,325,0,0,0.130841,517,0,0,0.05988
Run 1,Aaron Whitfield,17,solo,0,0,362,0,0,0.117647,575,0,0,0.119565
Run 1,Aaron Whitfield,17,solo,0,0,492,0,0,0.042017,714,0,0,0.018433
Run 1,Aaron Whitfield,17,solo,0,0,406,1,0,1.0,543,1,0,1.0
Run 1,Aaron Whitfield,17,solo,0,0,448,0,0,0.037313,557,0,0,0.102273
Run 1,Aaron Whitfield,17,solo,0,0,432,0,0,0.23,577,0,0,0.055838
Run 1,Aaron Whitfield,17,solo,0,0,381,0,0,0.043103,646,0,0,0.049261
Run 1,Aaron Whitfield,17,solo,0,0,406,1,0,1.0,543,1,0,1.0
Run 1,Aaron Whitfield,17,solo,0,0,283,0,0,0.1,532,0,0,0.045977
Run 1,Aaron Whitfield,17,solo,0,0,408,0,0,0.171429,572,0,0,0.093567
Run 1,Aaron Whitfield,17,solo,0,0,367,0,0,0.070423,671,0,0,0.064039
Run 1,Aaron Whitfield,17,solo,1,0,11,1,0,0.0,11,1,0,0.0
Run 1,Aaron Whitfield,17,solo,0,0,389,0,0,0.078261,495,0,0,0.052083
