key,expected_title,year,topic,official_url,http_status,resolved_url,page_title,result,note
zhang2026lightmem,Lightweight LLM Agent Memory with Small Language Models,2026,agent-memory-efficiency,https://aclanthology.org/2026.acl-long.588/,200,https://aclanthology.org/2026.acl-long.588/,Lightweight LLM Agent Memory with Small Language Models - ACL Anthology,ok,
shi2026personaarena,PersonaArena: Dynamic Simulation for Evaluating and Enhancing Persona-Level Role-Playing in Large Language Models,2026,persona-fidelity,https://aclanthology.org/2026.findings-acl.471/,200,https://aclanthology.org/2026.findings-acl.471/,PersonaArena: Dynamic Simulation for Evaluating and Enhancing Persona-Level Role-Playing in Large Language Models - ACL Anthology,ok,
akata2025games,Playing repeated games with large language models,2025,long-horizon-social-behavior,https://doi.org/10.1038/s41562-025-02172-y,200,https://www.nature.com/articles/s41562-025-02172-y,Client Challenge,ok,
star2026auditing,Auditing Support Strategies in LLMs Through Grounded Multi-Turn Social Simulation,2026,socialllm-accepted-evaluation,https://openreview.net/forum?id=OX8jmYlFD4,200,https://openreview.net/challenge?redirect=%2Fforum%3Fid%3DOX8jmYlFD4,Verifying your browser | OpenReview,blocked-by-openreview-challenge,
lazzaroni2026calibrated,Calibrated but Autonomous: Inference-Time Bayesian Logit Correction for LLM Social Simulations,2026,socialllm-accepted-calibration,https://openreview.net/pdf?id=9EZgvMOHXn,200,https://openreview.net/challenge?redirect=%2Fpdf%3Fid%3D9EZgvMOHXn,Verifying your browser | OpenReview,blocked-by-openreview-challenge,
shrestha2026synthetic,Multimodal Large Language Models as Synthetic Participants in Video-Based Studies: An Evaluation,2026,socialllm-accepted-validity,https://openreview.net/forum?id=YK6uGknDRE,200,https://openreview.net/challenge?redirect=%2Fforum%3Fid%3DYK6uGknDRE,Verifying your browser | OpenReview,blocked-by-openreview-challenge,
wang2026rethinking,Rethinking Scale: Deployment Trade-offs of Small Language Models under Agent Paradigms,2026,resource-constrained-agents,https://aclanthology.org/2026.acl-industry.123/,200,https://aclanthology.org/2026.acl-industry.123/,Rethinking Scale: Deployment Trade-offs of Small Language Models under Agent Paradigms - ACL Anthology,ok,
lin2024awq,AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,2024,resource-constrained-inference,https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html,,,,error,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>
kwon2023vllm,Efficient Memory Management for Large Language Model Serving with PagedAttention,2023,inference-serving,https://doi.org/10.1145/3600006.3613165,403,https://dl.acm.org/doi/10.1145/3600006.3613165,,error,HTTP Error 403: Forbidden
yang2025qwen3,Qwen3 Technical Report,2025,base-model,https://arxiv.org/abs/2505.09388,,,,error,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
